Hugo_Symbol	classifier_pathogenic_final	penetrance	Adrenocortical Carcinoma_gene_count	Adrenocortical Carcinoma_tumortype_count	Ampullary Carcinoma_gene_count	Ampullary Carcinoma_tumortype_count	Anal Cancer_gene_count	Anal Cancer_tumortype_count	Appendiceal Adenocarcinoma_gene_count	Appendiceal Adenocarcinoma_tumortype_count	Bladder Cancer_gene_count	Bladder Cancer_tumortype_count	Bone Cancer_gene_count	Bone Cancer_tumortype_count	Cancer of Unknown Primary_gene_count	Cancer of Unknown Primary_tumortype_count	Cervical Cancer_gene_count	Cervical Cancer_tumortype_count	Cholangiocarcinoma_gene_count	Cholangiocarcinoma_tumortype_count	Colorectal Adenocarcinoma_gene_count	Colorectal Adenocarcinoma_tumortype_count	Cutaneous Melanoma_gene_count	Cutaneous Melanoma_tumortype_count	Diffuse Glioma_gene_count	Diffuse Glioma_tumortype_count	Embryonal Tumor_gene_count	Embryonal Tumor_tumortype_count	Endometrial Carcinoma_gene_count	Endometrial Carcinoma_tumortype_count	Esophagogastric Cancer_gene_count	Esophagogastric Cancer_tumortype_count	Gastrointestinal Neuroendocrine Tumors_gene_count	Gastrointestinal Neuroendocrine Tumors_tumortype_count	Gastrointestinal Stromal Tumor_gene_count	Gastrointestinal Stromal Tumor_tumortype_count	Germ Cell Tumor_gene_count	Germ Cell Tumor_tumortype_count	Head and Neck Cancer_gene_count	Head and Neck Cancer_tumortype_count	Invasive Breast Carcinoma_gene_count	Invasive Breast Carcinoma_tumortype_count	Lung Neuroendocrine Tumor_gene_count	Lung Neuroendocrine Tumor_tumortype_count	Mesothelioma_gene_count	Mesothelioma_tumortype_count	Nerve Sheath Tumor_gene_count	Nerve Sheath Tumor_tumortype_count	Non Glioma CNS Cancers_gene_count	Non Glioma CNS Cancers_tumortype_count	Non-Cholangio Hepatobiliary Cancer_gene_count	Non-Cholangio Hepatobiliary Cancer_tumortype_count	Non-Small Cell Lung Cancer_gene_count	Non-Small Cell Lung Cancer_tumortype_count	Non-cutaneous Melanoma_gene_count	Non-cutaneous Melanoma_tumortype_count	Other_gene_count	Other_tumortype_count	Ovarian Cancer_gene_count	Ovarian Cancer_tumortype_count	Pancreatic Adenocarcinoma_gene_count	Pancreatic Adenocarcinoma_tumortype_count	Pancreatic Neuroendocrine Tumor_gene_count	Pancreatic Neuroendocrine Tumor_tumortype_count	Prostate Cancer_gene_count	Prostate Cancer_tumortype_count	Renal Clear Cell Carcinoma_gene_count	Renal Clear Cell Carcinoma_tumortype_count	Renal Non-Clear Cell Carcinoma_gene_count	Renal Non-Clear Cell Carcinoma_tumortype_count	Retinoblastoma_gene_count	Retinoblastoma_tumortype_count	Salivary Carcinoma_gene_count	Salivary Carcinoma_tumortype_count	Sex Cord Stromal Tumor_gene_count	Sex Cord Stromal Tumor_tumortype_count	Skin Cancer, Non-Melanoma_gene_count	Skin Cancer, Non-Melanoma_tumortype_count	Small Bowel Cancer_gene_count	Small Bowel Cancer_tumortype_count	Small Cell Lung Cancer_gene_count	Small Cell Lung Cancer_tumortype_count	Soft Tissue Sarcoma_gene_count	Soft Tissue Sarcoma_tumortype_count	Thymic Tumor_gene_count	Thymic Tumor_tumortype_count	Thyroid Cancer_gene_count	Thyroid Cancer_tumortype_count	Unknown_gene_count	Unknown_tumortype_count	Uterine Sarcoma_gene_count	Uterine Sarcoma_tumortype_count	gene_panel
NTRK2	0	NA	0.0	36.0	3.0	41.0	0.0	45.0	1.0	92.0	13.0	498.0	3.0	174.0	4.0	349.0	2.0	74.0	7.0	251.0	19.0	1384.0	3.0	298.0	2.0	790.0	3.0	101.0	7.0	507.0	5.0	355.0	2.0	77.0	2.0	193.0	3.0	317.0	3.0	258.0	30.0	2206.0	0.0	86.0	2.0	141.0	0.0	25.0	0.0	64.0	5.0	208.0	43.0	2187.0	1.0	175.0	3.0	382.0	6.0	333.0	17.0	649.0	1.0	99.0	8.0	879.0	4.0	262.0	1.0	174.0	0.0	11.0	1.0	125.0	0.0	24.0	1.0	179.0	0.0	52.0	3.0	118.0	6.0	550.0	0.0	30.0	5.0	269.0	0.0	20.0	3.0	107.0	all
NTRK3	0	NA	0.0	36.0	2.0	41.0	1.0	45.0	0.0	92.0	12.0	498.0	1.0	174.0	4.0	349.0	1.0	74.0	4.0	251.0	25.0	1384.0	2.0	298.0	3.0	790.0	1.0	101.0	13.0	507.0	9.0	355.0	3.0	77.0	5.0	193.0	5.0	317.0	3.0	258.0	35.0	2206.0	2.0	86.0	3.0	141.0	0.0	25.0	0.0	64.0	4.0	208.0	54.0	2187.0	3.0	175.0	8.0	382.0	8.0	333.0	22.0	649.0	4.0	99.0	18.0	879.0	2.0	262.0	4.0	174.0	0.0	11.0	4.0	125.0	1.0	24.0	3.0	179.0	3.0	52.0	4.0	118.0	6.0	550.0	1.0	30.0	3.0	269.0	2.0	20.0	3.0	107.0	all
PAK1	0	NA	0.0	36.0	0.0	41.0	0.0	45.0	1.0	92.0	5.0	498.0	1.0	174.0	4.0	349.0	0.0	74.0	4.0	251.0	14.0	1384.0	0.0	298.0	3.0	790.0	0.0	101.0	4.0	507.0	4.0	355.0	2.0	77.0	0.0	193.0	6.0	317.0	5.0	258.0	22.0	2206.0	0.0	86.0	0.0	141.0	1.0	25.0	0.0	64.0	3.0	208.0	23.0	2187.0	0.0	175.0	3.0	382.0	0.0	333.0	10.0	649.0	4.0	99.0	5.0	879.0	2.0	262.0	4.0	174.0	0.0	11.0	1.0	125.0	0.0	24.0	4.0	179.0	0.0	52.0	1.0	118.0	10.0	550.0	1.0	30.0	3.0	269.0	0.0	20.0	0.0	107.0	all
PAK7	0	NA	1.0	36.0	1.0	41.0	0.0	45.0	1.0	92.0	2.0	498.0	1.0	174.0	4.0	349.0	0.0	74.0	3.0	251.0	20.0	1384.0	2.0	298.0	4.0	790.0	0.0	101.0	2.0	507.0	5.0	355.0	2.0	77.0	1.0	193.0	2.0	317.0	1.0	258.0	23.0	2206.0	1.0	86.0	1.0	141.0	0.0	25.0	0.0	64.0	1.0	208.0	26.0	2187.0	3.0	175.0	0.0	382.0	0.0	333.0	10.0	649.0	0.0	99.0	5.0	879.0	1.0	262.0	2.0	174.0	0.0	11.0	2.0	125.0	0.0	24.0	0.0	179.0	0.0	52.0	1.0	118.0	9.0	550.0	0.0	30.0	3.0	269.0	0.0	20.0	0.0	107.0	all
PALB2	0	NA	0.0	36.0	2.0	41.0	2.0	45.0	1.0	92.0	21.0	498.0	4.0	174.0	8.0	349.0	3.0	74.0	6.0	251.0	39.0	1384.0	2.0	298.0	11.0	790.0	4.0	101.0	17.0	507.0	13.0	355.0	2.0	77.0	1.0	193.0	8.0	317.0	5.0	258.0	38.0	2206.0	1.0	86.0	3.0	141.0	0.0	25.0	0.0	64.0	9.0	208.0	65.0	2187.0	5.0	175.0	7.0	382.0	4.0	333.0	21.0	649.0	5.0	99.0	25.0	879.0	4.0	262.0	3.0	174.0	0.0	11.0	3.0	125.0	0.0	24.0	3.0	179.0	2.0	52.0	5.0	118.0	9.0	550.0	1.0	30.0	3.0	269.0	0.0	20.0	1.0	107.0	all
PALB2	1	High	0.0	36.0	0.0	41.0	0.0	45.0	0.0	92.0	0.0	498.0	0.0	174.0	0.0	349.0	0.0	74.0	0.0	251.0	0.0	1384.0	0.0	298.0	0.0	790.0	0.0	101.0	1.0	507.0	0.0	355.0	0.0	77.0	0.0	193.0	1.0	317.0	0.0	258.0	7.0	2206.0	0.0	86.0	0.0	141.0	0.0	25.0	0.0	64.0	0.0	208.0	0.0	2187.0	0.0	175.0	0.0	382.0	0.0	333.0	1.0	649.0	0.0	99.0	4.0	879.0	0.0	262.0	1.0	174.0	0.0	11.0	0.0	125.0	0.0	24.0	0.0	179.0	0.0	52.0	0.0	118.0	0.0	550.0	0.0	30.0	0.0	269.0	0.0	20.0	0.0	107.0	all
PARK2	0	NA	0.0	36.0	1.0	41.0	1.0	45.0	4.0	92.0	9.0	498.0	3.0	174.0	12.0	349.0	1.0	74.0	7.0	251.0	39.0	1384.0	2.0	298.0	7.0	790.0	0.0	101.0	14.0	507.0	7.0	355.0	2.0	77.0	4.0	193.0	6.0	317.0	3.0	258.0	81.0	2206.0	2.0	86.0	2.0	141.0	0.0	25.0	4.0	64.0	5.0	208.0	65.0	2187.0	5.0	175.0	8.0	382.0	6.0	333.0	15.0	649.0	0.0	99.0	16.0	879.0	3.0	262.0	9.0	174.0	0.0	11.0	2.0	125.0	1.0	24.0	2.0	179.0	3.0	52.0	0.0	118.0	8.0	550.0	2.0	30.0	5.0	269.0	1.0	20.0	0.0	107.0	all
PARK2	1	Uncertain	0.0	36.0	0.0	41.0	0.0	45.0	0.0	92.0	0.0	498.0	0.0	174.0	0.0	349.0	0.0	74.0	0.0	251.0	1.0	1384.0	0.0	298.0	0.0	790.0	0.0	101.0	0.0	507.0	0.0	355.0	0.0	77.0	0.0	193.0	0.0	317.0	0.0	258.0	2.0	2206.0	0.0	86.0	0.0	141.0	0.0	25.0	0.0	64.0	0.0	208.0	1.0	2187.0	0.0	175.0	1.0	382.0	0.0	333.0	0.0	649.0	0.0	99.0	0.0	879.0	0.0	262.0	0.0	174.0	0.0	11.0	0.0	125.0	0.0	24.0	0.0	179.0	0.0	52.0	0.0	118.0	0.0	550.0	0.0	30.0	0.0	269.0	0.0	20.0	0.0	107.0	all
PARP1	0	NA	2.0	36.0	1.0	41.0	0.0	45.0	4.0	92.0	15.0	498.0	2.0	174.0	7.0	349.0	0.0	74.0	5.0	251.0	22.0	1384.0	4.0	298.0	10.0	790.0	1.0	101.0	9.0	507.0	4.0	355.0	0.0	77.0	2.0	193.0	1.0	317.0	4.0	258.0	31.0	2206.0	3.0	86.0	3.0	141.0	0.0	25.0	1.0	64.0	8.0	208.0	33.0	2187.0	0.0	175.0	4.0	382.0	3.0	333.0	20.0	649.0	3.0	99.0	16.0	879.0	3.0	262.0	8.0	174.0	0.0	11.0	0.0	125.0	0.0	24.0	2.0	179.0	0.0	52.0	2.0	118.0	11.0	550.0	0.0	30.0	4.0	269.0	0.0	20.0	6.0	107.0	all
PAX5	0	NA	1.0	36.0	1.0	41.0	0.0	45.0	6.0	92.0	9.0	498.0	4.0	174.0	12.0	349.0	1.0	74.0	6.0	251.0	28.0	1384.0	8.0	298.0	10.0	790.0	2.0	101.0	11.0	507.0	8.0	355.0	1.0	77.0	2.0	193.0	10.0	317.0	4.0	258.0	46.0	2206.0	2.0	86.0	3.0	141.0	1.0	25.0	1.0	64.0	5.0	208.0	54.0	2187.0	3.0	175.0	14.0	382.0	4.0	333.0	20.0	649.0	1.0	99.0	14.0	879.0	8.0	262.0	5.0	174.0	0.0	11.0	0.0	125.0	0.0	24.0	2.0	179.0	1.0	52.0	1.0	118.0	9.0	550.0	0.0	30.0	7.0	269.0	0.0	20.0	3.0	107.0	all
PBRM1	0	NA	10.0	36.0	8.0	41.0	7.0	45.0	12.0	92.0	58.0	498.0	18.0	174.0	68.0	349.0	11.0	74.0	60.0	251.0	200.0	1384.0	48.0	298.0	49.0	790.0	12.0	101.0	59.0	507.0	77.0	355.0	8.0	77.0	6.0	193.0	41.0	317.0	50.0	258.0	318.0	2206.0	16.0	86.0	34.0	141.0	4.0	25.0	5.0	64.0	25.0	208.0	470.0	2187.0	23.0	175.0	48.0	382.0	38.0	333.0	125.0	649.0	25.0	99.0	86.0	879.0	116.0	262.0	25.0	174.0	0.0	11.0	16.0	125.0	4.0	24.0	34.0	179.0	5.0	52.0	29.0	118.0	47.0	550.0	2.0	30.0	24.0	269.0	1.0	20.0	8.0	107.0	all
PDCD1	0	NA	0.0	36.0	0.0	41.0	0.0	45.0	1.0	92.0	1.0	498.0	2.0	174.0	2.0	349.0	1.0	74.0	0.0	251.0	10.0	1384.0	0.0	298.0	2.0	790.0	0.0	101.0	2.0	507.0	4.0	355.0	0.0	77.0	0.0	193.0	0.0	317.0	2.0	258.0	16.0	2206.0	0.0	86.0	0.0	141.0	0.0	25.0	0.0	64.0	1.0	208.0	15.0	2187.0	0.0	175.0	1.0	382.0	0.0	333.0	3.0	649.0	0.0	99.0	2.0	879.0	2.0	262.0	0.0	174.0	0.0	11.0	1.0	125.0	0.0	24.0	0.0	179.0	1.0	52.0	0.0	118.0	2.0	550.0	0.0	30.0	4.0	269.0	0.0	20.0	0.0	107.0	all
PDGFRA	0	NA	2.0	36.0	1.0	41.0	0.0	45.0	2.0	92.0	7.0	498.0	1.0	174.0	6.0	349.0	0.0	74.0	7.0	251.0	37.0	1384.0	6.0	298.0	14.0	790.0	0.0	101.0	15.0	507.0	7.0	355.0	0.0	77.0	12.0	193.0	5.0	317.0	2.0	258.0	50.0	2206.0	2.0	86.0	7.0	141.0	0.0	25.0	0.0	64.0	6.0	208.0	65.0	2187.0	1.0	175.0	7.0	382.0	8.0	333.0	19.0	649.0	1.0	99.0	13.0	879.0	3.0	262.0	5.0	174.0	0.0	11.0	3.0	125.0	0.0	24.0	1.0	179.0	2.0	52.0	3.0	118.0	8.0	550.0	0.0	30.0	6.0	269.0	0.0	20.0	2.0	107.0	all
PDGFRB	0	NA	0.0	36.0	0.0	41.0	2.0	45.0	5.0	92.0	26.0	498.0	3.0	174.0	20.0	349.0	4.0	74.0	9.0	251.0	70.0	1384.0	13.0	298.0	13.0	790.0	1.0	101.0	18.0	507.0	15.0	355.0	0.0	77.0	2.0	193.0	21.0	317.0	18.0	258.0	80.0	2206.0	6.0	86.0	6.0	141.0	0.0	25.0	0.0	64.0	5.0	208.0	130.0	2187.0	4.0	175.0	17.0	382.0	21.0	333.0	35.0	649.0	0.0	99.0	26.0	879.0	11.0	262.0	8.0	174.0	0.0	11.0	6.0	125.0	1.0	24.0	4.0	179.0	4.0	52.0	9.0	118.0	17.0	550.0	0.0	30.0	6.0	269.0	0.0	20.0	2.0	107.0	all
PDPK1	0	NA	0.0	36.0	0.0	41.0	0.0	45.0	0.0	92.0	0.0	498.0	0.0	174.0	0.0	349.0	0.0	74.0	0.0	251.0	1.0	1384.0	1.0	298.0	1.0	790.0	0.0	101.0	2.0	507.0	3.0	355.0	0.0	77.0	0.0	193.0	1.0	317.0	1.0	258.0	2.0	2206.0	0.0	86.0	0.0	141.0	0.0	25.0	0.0	64.0	0.0	208.0	3.0	2187.0	0.0	175.0	1.0	382.0	0.0	333.0	4.0	649.0	0.0	99.0	0.0	879.0	1.0	262.0	0.0	174.0	0.0	11.0	1.0	125.0	0.0	24.0	0.0	179.0	0.0	52.0	0.0	118.0	0.0	550.0	0.0	30.0	1.0	269.0	0.0	20.0	0.0	107.0	all
PHOX2B	0	NA	0.0	36.0	0.0	41.0	1.0	45.0	1.0	92.0	4.0	498.0	2.0	174.0	2.0	349.0	0.0	74.0	1.0	251.0	16.0	1384.0	2.0	298.0	4.0	790.0	0.0	101.0	3.0	507.0	6.0	355.0	0.0	77.0	0.0	193.0	4.0	317.0	3.0	258.0	22.0	2206.0	1.0	86.0	0.0	141.0	0.0	25.0	1.0	64.0	2.0	208.0	23.0	2187.0	0.0	175.0	4.0	382.0	1.0	333.0	4.0	649.0	0.0	99.0	3.0	879.0	4.0	262.0	1.0	174.0	0.0	11.0	2.0	125.0	0.0	24.0	1.0	179.0	1.0	52.0	0.0	118.0	3.0	550.0	0.0	30.0	2.0	269.0	0.0	20.0	0.0	107.0	all
PIK3C2G	0	NA	0.0	36.0	2.0	41.0	0.0	45.0	6.0	92.0	26.0	498.0	7.0	174.0	10.0	349.0	1.0	74.0	12.0	251.0	53.0	1384.0	8.0	298.0	16.0	790.0	1.0	101.0	18.0	507.0	12.0	355.0	1.0	77.0	2.0	193.0	4.0	317.0	8.0	258.0	99.0	2206.0	2.0	86.0	1.0	141.0	0.0	25.0	0.0	64.0	13.0	208.0	133.0	2187.0	4.0	175.0	16.0	382.0	10.0	333.0	41.0	649.0	3.0	99.0	50.0	879.0	7.0	262.0	9.0	174.0	0.0	11.0	2.0	125.0	1.0	24.0	6.0	179.0	4.0	52.0	3.0	118.0	23.0	550.0	1.0	30.0	9.0	269.0	0.0	20.0	2.0	107.0	all
PIK3C2G	1	Uncertain	0.0	36.0	0.0	41.0	0.0	45.0	0.0	92.0	1.0	498.0	0.0	174.0	1.0	349.0	0.0	74.0	0.0	251.0	2.0	1384.0	1.0	298.0	1.0	790.0	0.0	101.0	0.0	507.0	0.0	355.0	0.0	77.0	0.0	193.0	0.0	317.0	0.0	258.0	2.0	2206.0	0.0	86.0	0.0	141.0	0.0	25.0	0.0	64.0	0.0	208.0	5.0	2187.0	0.0	175.0	0.0	382.0	1.0	333.0	2.0	649.0	1.0	99.0	0.0	879.0	0.0	262.0	0.0	174.0	0.0	11.0	0.0	125.0	1.0	24.0	0.0	179.0	0.0	52.0	0.0	118.0	1.0	550.0	0.0	30.0	1.0	269.0	0.0	20.0	0.0	107.0	all
PIK3C3	0	NA	1.0	36.0	0.0	41.0	0.0	45.0	6.0	92.0	5.0	498.0	2.0	174.0	6.0	349.0	1.0	74.0	4.0	251.0	35.0	1384.0	0.0	298.0	2.0	790.0	0.0	101.0	7.0	507.0	11.0	355.0	3.0	77.0	2.0	193.0	5.0	317.0	4.0	258.0	49.0	2206.0	0.0	86.0	1.0	141.0	1.0	25.0	0.0	64.0	6.0	208.0	58.0	2187.0	1.0	175.0	10.0	382.0	2.0	333.0	12.0	649.0	2.0	99.0	19.0	879.0	4.0	262.0	4.0	174.0	0.0	11.0	0.0	125.0	0.0	24.0	3.0	179.0	1.0	52.0	1.0	118.0	7.0	550.0	0.0	30.0	5.0	269.0	1.0	20.0	0.0	107.0	all
PIK3CA	0	NA	0.0	36.0	1.0	41.0	1.0	45.0	1.0	92.0	11.0	498.0	2.0	174.0	9.0	349.0	1.0	74.0	1.0	251.0	30.0	1384.0	3.0	298.0	8.0	790.0	1.0	101.0	18.0	507.0	6.0	355.0	1.0	77.0	0.0	193.0	6.0	317.0	2.0	258.0	53.0	2206.0	0.0	86.0	0.0	141.0	0.0	25.0	0.0	64.0	1.0	208.0	44.0	2187.0	1.0	175.0	1.0	382.0	1.0	333.0	13.0	649.0	1.0	99.0	10.0	879.0	2.0	262.0	2.0	174.0	0.0	11.0	3.0	125.0	0.0	24.0	5.0	179.0	0.0	52.0	0.0	118.0	4.0	550.0	0.0	30.0	7.0	269.0	0.0	20.0	0.0	107.0	all
PIK3CB	0	NA	0.0	36.0	1.0	41.0	1.0	45.0	1.0	92.0	4.0	498.0	4.0	174.0	5.0	349.0	0.0	74.0	7.0	251.0	25.0	1384.0	1.0	298.0	3.0	790.0	2.0	101.0	7.0	507.0	4.0	355.0	0.0	77.0	1.0	193.0	1.0	317.0	5.0	258.0	37.0	2206.0	2.0	86.0	1.0	141.0	0.0	25.0	0.0	64.0	2.0	208.0	38.0	2187.0	3.0	175.0	5.0	382.0	1.0	333.0	9.0	649.0	1.0	99.0	11.0	879.0	3.0	262.0	3.0	174.0	0.0	11.0	1.0	125.0	0.0	24.0	2.0	179.0	1.0	52.0	0.0	118.0	4.0	550.0	0.0	30.0	2.0	269.0	0.0	20.0	1.0	107.0	all
PIK3CD	0	NA	0.0	36.0	1.0	41.0	0.0	45.0	5.0	92.0	17.0	498.0	12.0	174.0	13.0	349.0	2.0	74.0	20.0	251.0	50.0	1384.0	9.0	298.0	24.0	790.0	7.0	101.0	18.0	507.0	17.0	355.0	2.0	77.0	9.0	193.0	12.0	317.0	4.0	258.0	93.0	2206.0	3.0	86.0	3.0	141.0	1.0	25.0	2.0	64.0	6.0	208.0	72.0	2187.0	4.0	175.0	11.0	382.0	24.0	333.0	25.0	649.0	3.0	99.0	20.0	879.0	4.0	262.0	11.0	174.0	0.0	11.0	7.0	125.0	1.0	24.0	2.0	179.0	2.0	52.0	3.0	118.0	21.0	550.0	0.0	30.0	15.0	269.0	1.0	20.0	6.0	107.0	all
PIK3CG	0	NA	0.0	36.0	1.0	41.0	0.0	45.0	2.0	92.0	2.0	498.0	2.0	174.0	6.0	349.0	0.0	74.0	6.0	251.0	20.0	1384.0	3.0	298.0	3.0	790.0	0.0	101.0	14.0	507.0	9.0	355.0	0.0	77.0	0.0	193.0	3.0	317.0	1.0	258.0	40.0	2206.0	0.0	86.0	0.0	141.0	0.0	25.0	0.0	64.0	4.0	208.0	38.0	2187.0	1.0	175.0	2.0	382.0	4.0	333.0	9.0	649.0	0.0	99.0	20.0	879.0	2.0	262.0	3.0	174.0	0.0	11.0	4.0	125.0	0.0	24.0	3.0	179.0	0.0	52.0	1.0	118.0	8.0	550.0	0.0	30.0	8.0	269.0	0.0	20.0	0.0	107.0	all
PIK3R1	0	NA	0.0	36.0	0.0	41.0	0.0	45.0	1.0	92.0	12.0	498.0	4.0	174.0	9.0	349.0	1.0	74.0	1.0	251.0	26.0	1384.0	4.0	298.0	8.0	790.0	1.0	101.0	9.0	507.0	2.0	355.0	2.0	77.0	1.0	193.0	5.0	317.0	4.0	258.0	39.0	2206.0	1.0	86.0	0.0	141.0	1.0	25.0	1.0	64.0	2.0	208.0	48.0	2187.0	0.0	175.0	5.0	382.0	9.0	333.0	19.0	649.0	0.0	99.0	20.0	879.0	6.0	262.0	2.0	174.0	0.0	11.0	2.0	125.0	2.0	24.0	1.0	179.0	2.0	52.0	2.0	118.0	4.0	550.0	0.0	30.0	1.0	269.0	0.0	20.0	0.0	107.0	all
PIK3R2	0	NA	1.0	36.0	0.0	41.0	0.0	45.0	2.0	92.0	6.0	498.0	5.0	174.0	2.0	349.0	2.0	74.0	0.0	251.0	14.0	1384.0	2.0	298.0	1.0	790.0	1.0	101.0	9.0	507.0	9.0	355.0	0.0	77.0	0.0	193.0	2.0	317.0	3.0	258.0	30.0	2206.0	1.0	86.0	0.0	141.0	0.0	25.0	0.0	64.0	5.0	208.0	52.0	2187.0	4.0	175.0	10.0	382.0	0.0	333.0	8.0	649.0	0.0	99.0	6.0	879.0	3.0	262.0	0.0	174.0	0.0	11.0	2.0	125.0	0.0	24.0	2.0	179.0	1.0	52.0	1.0	118.0	6.0	550.0	0.0	30.0	3.0	269.0	1.0	20.0	1.0	107.0	all
PIK3R3	0	NA	0.0	36.0	0.0	41.0	0.0	45.0	0.0	92.0	0.0	498.0	2.0	174.0	0.0	349.0	0.0	74.0	4.0	251.0	12.0	1384.0	0.0	298.0	7.0	790.0	1.0	101.0	1.0	507.0	2.0	355.0	3.0	77.0	1.0	193.0	0.0	317.0	0.0	258.0	10.0	2206.0	0.0	86.0	0.0	141.0	0.0	25.0	2.0	64.0	2.0	208.0	15.0	2187.0	0.0	175.0	4.0	382.0	2.0	333.0	1.0	649.0	0.0	99.0	2.0	879.0	1.0	262.0	0.0	174.0	0.0	11.0	2.0	125.0	0.0	24.0	0.0	179.0	0.0	52.0	0.0	118.0	2.0	550.0	0.0	30.0	4.0	269.0	0.0	20.0	2.0	107.0	all
PIK3R3	1	Uncertain	0.0	36.0	0.0	41.0	0.0	45.0	0.0	92.0	0.0	498.0	0.0	174.0	0.0	349.0	0.0	74.0	0.0	251.0	0.0	1384.0	0.0	298.0	0.0	790.0	0.0	101.0	0.0	507.0	0.0	355.0	0.0	77.0	0.0	193.0	0.0	317.0	0.0	258.0	1.0	2206.0	0.0	86.0	0.0	141.0	0.0	25.0	0.0	64.0	0.0	208.0	0.0	2187.0	0.0	175.0	0.0	382.0	0.0	333.0	0.0	649.0	0.0	99.0	0.0	879.0	0.0	262.0	0.0	174.0	0.0	11.0	0.0	125.0	0.0	24.0	0.0	179.0	0.0	52.0	0.0	118.0	0.0	550.0	0.0	30.0	0.0	269.0	0.0	20.0	0.0	107.0	all
PIM1	0	NA	1.0	36.0	1.0	41.0	1.0	45.0	1.0	92.0	2.0	498.0	1.0	174.0	3.0	349.0	0.0	74.0	2.0	251.0	10.0	1384.0	0.0	298.0	3.0	790.0	0.0	101.0	1.0	507.0	4.0	355.0	0.0	77.0	0.0	193.0	1.0	317.0	0.0	258.0	15.0	2206.0	0.0	86.0	2.0	141.0	0.0	25.0	0.0	64.0	0.0	208.0	13.0	2187.0	0.0	175.0	0.0	382.0	2.0	333.0	3.0	649.0	2.0	99.0	2.0	879.0	1.0	262.0	2.0	174.0	0.0	11.0	0.0	125.0	0.0	24.0	0.0	179.0	0.0	52.0	0.0	118.0	3.0	550.0	1.0	30.0	1.0	269.0	1.0	20.0	0.0	107.0	all
PLK2	0	NA	0.0	36.0	0.0	41.0	2.0	45.0	1.0	92.0	5.0	498.0	2.0	174.0	6.0	349.0	2.0	74.0	1.0	251.0	20.0	1384.0	1.0	298.0	1.0	790.0	1.0	101.0	2.0	507.0	8.0	355.0	1.0	77.0	1.0	193.0	3.0	317.0	4.0	258.0	34.0	2206.0	0.0	86.0	2.0	141.0	0.0	25.0	0.0	64.0	2.0	208.0	28.0	2187.0	0.0	175.0	2.0	382.0	3.0	333.0	11.0	649.0	0.0	99.0	9.0	879.0	1.0	262.0	2.0	174.0	0.0	11.0	2.0	125.0	0.0	24.0	0.0	179.0	1.0	52.0	1.0	118.0	2.0	550.0	0.0	30.0	2.0	269.0	0.0	20.0	0.0	107.0	all
PMAIP1	0	NA	0.0	36.0	0.0	41.0	0.0	45.0	0.0	92.0	2.0	498.0	3.0	174.0	0.0	349.0	1.0	74.0	0.0	251.0	4.0	1384.0	1.0	298.0	1.0	790.0	0.0	101.0	0.0	507.0	1.0	355.0	0.0	77.0	0.0	193.0	0.0	317.0	0.0	258.0	1.0	2206.0	0.0	86.0	0.0	141.0	0.0	25.0	0.0	64.0	0.0	208.0	4.0	2187.0	0.0	175.0	0.0	382.0	1.0	333.0	0.0	649.0	0.0	99.0	1.0	879.0	1.0	262.0	0.0	174.0	0.0	11.0	0.0	125.0	0.0	24.0	0.0	179.0	0.0	52.0	0.0	118.0	1.0	550.0	1.0	30.0	0.0	269.0	0.0	20.0	0.0	107.0	all
PMS1	0	NA	5.0	36.0	1.0	41.0	0.0	45.0	5.0	92.0	12.0	498.0	6.0	174.0	8.0	349.0	2.0	74.0	2.0	251.0	35.0	1384.0	6.0	298.0	3.0	790.0	2.0	101.0	8.0	507.0	8.0	355.0	2.0	77.0	1.0	193.0	4.0	317.0	3.0	258.0	48.0	2206.0	0.0	86.0	0.0	141.0	0.0	25.0	0.0	64.0	5.0	208.0	44.0	2187.0	1.0	175.0	3.0	382.0	1.0	333.0	15.0	649.0	0.0	99.0	19.0	879.0	0.0	262.0	5.0	174.0	0.0	11.0	2.0	125.0	0.0	24.0	1.0	179.0	1.0	52.0	0.0	118.0	8.0	550.0	1.0	30.0	6.0	269.0	0.0	20.0	3.0	107.0	all
PMS1	1	Uncertain	0.0	36.0	0.0	41.0	0.0	45.0	0.0	92.0	1.0	498.0	0.0	174.0	0.0	349.0	0.0	74.0	0.0	251.0	0.0	1384.0	1.0	298.0	0.0	790.0	0.0	101.0	0.0	507.0	0.0	355.0	0.0	77.0	0.0	193.0	0.0	317.0	0.0	258.0	0.0	2206.0	0.0	86.0	0.0	141.0	0.0	25.0	0.0	64.0	0.0	208.0	1.0	2187.0	0.0	175.0	0.0	382.0	0.0	333.0	0.0	649.0	0.0	99.0	0.0	879.0	0.0	262.0	0.0	174.0	0.0	11.0	0.0	125.0	0.0	24.0	0.0	179.0	0.0	52.0	0.0	118.0	0.0	550.0	0.0	30.0	0.0	269.0	0.0	20.0	0.0	107.0	all
